INFO 2024-06-11 10:52:27,686 "GET /users/list/ HTTP/1.1" 200 15408
WARNING 2024-06-11 10:52:27,751 "GET /static/select2/js/select2.min.js HTTP/1.1" 404 1834
WARNING 2024-06-11 10:52:27,751 "GET /static/select2/css/select2.min.css HTTP/1.1" 404 1840
WARNING 2024-06-11 10:52:29,019 Not Found: /users/list/vendor/bootstrap-4.1/bootstrap.min.js
WARNING 2024-06-11 10:52:29,020 "GET /users/list/vendor/bootstrap-4.1/bootstrap.min.js HTTP/1.1" 404 10452
WARNING 2024-06-11 10:52:29,235 Not Found: /users/list/vendor/slick/slick.min.js
WARNING 2024-06-11 10:52:29,235 "GET /users/list/vendor/slick/slick.min.js HTTP/1.1" 404 10416
WARNING 2024-06-11 10:52:29,455 Not Found: /users/list/vendor/bootstrap-4.1/popper.min.js
WARNING 2024-06-11 10:52:29,455 "GET /users/list/vendor/bootstrap-4.1/popper.min.js HTTP/1.1" 404 10443
WARNING 2024-06-11 10:52:29,685 Not Found: /users/list/vendor/wow/wow.min.js
WARNING 2024-06-11 10:52:29,685 "GET /users/list/vendor/wow/wow.min.js HTTP/1.1" 404 10404
WARNING 2024-06-11 10:52:30,283 Not Found: /users/list/vendor/animsition/animsition.min.js
WARNING 2024-06-11 10:52:30,284 "GET /users/list/vendor/animsition/animsition.min.js HTTP/1.1" 404 10446
WARNING 2024-06-11 10:52:30,520 Not Found: /users/list/vendor/bootstrap-progressbar/bootstrap-progressbar.min.js
WARNING 2024-06-11 10:52:30,522 "GET /users/list/vendor/bootstrap-progressbar/bootstrap-progressbar.min.js HTTP/1.1" 404 10512
WARNING 2024-06-11 10:52:30,729 Not Found: /users/list/vendor/counter-up/jquery.counterup.min.js
WARNING 2024-06-11 10:52:30,731 "GET /users/list/vendor/counter-up/jquery.counterup.min.js HTTP/1.1" 404 10464
WARNING 2024-06-11 10:52:30,942 Not Found: /users/list/vendor/counter-up/jquery.waypoints.min.js
WARNING 2024-06-11 10:52:30,943 "GET /users/list/vendor/counter-up/jquery.waypoints.min.js HTTP/1.1" 404 10464
WARNING 2024-06-11 10:52:31,161 Not Found: /users/list/vendor/circle-progress/circle-progress.min.js
WARNING 2024-06-11 10:52:31,162 "GET /users/list/vendor/circle-progress/circle-progress.min.js HTTP/1.1" 404 10476
WARNING 2024-06-11 10:52:31,392 Not Found: /users/list/vendor/perfect-scrollbar/perfect-scrollbar.js
WARNING 2024-06-11 10:52:31,393 "GET /users/list/vendor/perfect-scrollbar/perfect-scrollbar.js HTTP/1.1" 404 10476
WARNING 2024-06-11 10:52:31,599 Not Found: /users/list/vendor/chartjs/Chart.bundle.min.js
WARNING 2024-06-11 10:52:31,600 "GET /users/list/vendor/chartjs/Chart.bundle.min.js HTTP/1.1" 404 10443
WARNING 2024-06-11 10:52:31,888 Not Found: /users/list/vendor/select2/select2.min.js
WARNING 2024-06-11 10:52:31,889 "GET /users/list/vendor/select2/select2.min.js HTTP/1.1" 404 10428
WARNING 2024-06-11 10:52:32,089 Not Found: /users/list/vendor/vector-map/jquery.vmap.js
WARNING 2024-06-11 10:52:32,095 "GET /users/list/vendor/vector-map/jquery.vmap.js HTTP/1.1" 404 10437
WARNING 2024-06-11 10:52:32,301 Not Found: /users/list/vendor/vector-map/jquery.vmap.min.js
WARNING 2024-06-11 10:52:32,302 "GET /users/list/vendor/vector-map/jquery.vmap.min.js HTTP/1.1" 404 10449
WARNING 2024-06-11 10:52:32,518 Not Found: /users/list/vendor/vector-map/jquery.vmap.sampledata.js
WARNING 2024-06-11 10:52:32,519 "GET /users/list/vendor/vector-map/jquery.vmap.sampledata.js HTTP/1.1" 404 10470
WARNING 2024-06-11 10:52:32,793 Not Found: /users/list/vendor/vector-map/jquery.vmap.world.js
WARNING 2024-06-11 10:52:32,794 "GET /users/list/vendor/vector-map/jquery.vmap.world.js HTTP/1.1" 404 10455
WARNING 2024-06-11 10:52:33,000 Not Found: /users/list/js/main.js
WARNING 2024-06-11 10:52:33,001 "GET /users/list/js/main.js HTTP/1.1" 404 10371
INFO 2024-06-11 10:52:59,614 "GET /session/list/ HTTP/1.1" 200 17216
WARNING 2024-06-11 10:52:59,636 "GET /static/select2/css/select2.min.css HTTP/1.1" 404 1840
WARNING 2024-06-11 10:52:59,654 "GET /static/select2/js/select2.min.js HTTP/1.1" 404 1834
WARNING 2024-06-11 10:53:00,949 Not Found: /session/list/vendor/bootstrap-4.1/bootstrap.min.js
WARNING 2024-06-11 10:53:00,949 "GET /session/list/vendor/bootstrap-4.1/bootstrap.min.js HTTP/1.1" 404 9476
WARNING 2024-06-11 10:53:01,161 Not Found: /session/list/vendor/bootstrap-4.1/popper.min.js
WARNING 2024-06-11 10:53:01,161 "GET /session/list/vendor/bootstrap-4.1/popper.min.js HTTP/1.1" 404 9467
WARNING 2024-06-11 10:53:01,409 Not Found: /session/list/vendor/slick/slick.min.js
WARNING 2024-06-11 10:53:01,410 "GET /session/list/vendor/slick/slick.min.js HTTP/1.1" 404 9440
WARNING 2024-06-11 10:53:02,147 Not Found: /session/list/vendor/animsition/animsition.min.js
WARNING 2024-06-11 10:53:02,148 "GET /session/list/vendor/animsition/animsition.min.js HTTP/1.1" 404 9470
WARNING 2024-06-11 10:53:02,381 Not Found: /session/list/vendor/bootstrap-progressbar/bootstrap-progressbar.min.js
WARNING 2024-06-11 10:53:02,383 "GET /session/list/vendor/bootstrap-progressbar/bootstrap-progressbar.min.js HTTP/1.1" 404 9536
WARNING 2024-06-11 10:53:02,689 Not Found: /session/list/vendor/counter-up/jquery.waypoints.min.js
WARNING 2024-06-11 10:53:02,690 "GET /session/list/vendor/counter-up/jquery.waypoints.min.js HTTP/1.1" 404 9488
WARNING 2024-06-11 10:53:02,928 Not Found: /session/list/vendor/counter-up/jquery.counterup.min.js
WARNING 2024-06-11 10:53:02,929 "GET /session/list/vendor/counter-up/jquery.counterup.min.js HTTP/1.1" 404 9488
WARNING 2024-06-11 10:53:03,207 Not Found: /session/list/vendor/circle-progress/circle-progress.min.js
WARNING 2024-06-11 10:53:03,207 "GET /session/list/vendor/circle-progress/circle-progress.min.js HTTP/1.1" 404 9500
WARNING 2024-06-11 10:53:03,488 Not Found: /session/list/vendor/wow/wow.min.js
WARNING 2024-06-11 10:53:03,503 "GET /session/list/vendor/wow/wow.min.js HTTP/1.1" 404 9428
WARNING 2024-06-11 10:53:03,727 Not Found: /session/list/vendor/perfect-scrollbar/perfect-scrollbar.js
WARNING 2024-06-11 10:53:03,733 "GET /session/list/vendor/perfect-scrollbar/perfect-scrollbar.js HTTP/1.1" 404 9500
WARNING 2024-06-11 10:53:03,945 Not Found: /session/list/vendor/chartjs/Chart.bundle.min.js
